enemy0_champion,enemy1_champion,enemy2_champion,enemy3_champion,enemy4_champion,gameId,teammate0_champion,teammate0_championDaysSinceLastPlayed,teammate0_championPoints,teammate0_playerPastWeekLoseStreak,teammate0_playerPastWeekWinRate,teammate1_champion,teammate1_championDaysSinceLastPlayed,teammate1_championPoints,teammate1_playerPastWeekLoseStreak,teammate1_playerPastWeekWinRate,teammate2_champion,teammate2_championDaysSinceLastPlayed,teammate2_championPoints,teammate2_playerPastWeekLoseStreak,teammate2_playerPastWeekWinRate,teammate3_champion,teammate3_championDaysSinceLastPlayed,teammate3_championPoints,teammate3_playerPastWeekLoseStreak,teammate3_playerPastWeekWinRate,teammate4_champion,teammate4_championDaysSinceLastPlayed,teammate4_championPoints,teammate4_playerPastWeekLoseStreak,teammate4_playerPastWeekWinRate,win
157,29,117,64,238,2844826110,245,54,70072,5,0.26666666666666666,96,13,83530,7,0.30303030303030304,41,29,28044,1,0.8333333333333334,12,349,47875,4,0.6,80,420,9400,4,0.631578947368421,True
113,157,117,86,101,2844832530,85,58,50359,4,0.6363636363636364,80,420,9400,4,0.65,267,108,108460,2,0.36363636363636365,145,308,56992,3,0.5384615384615384,105,3,31598,2,0.5555555555555556,True
36,267,105,202,24,2844959484,37,418,134161,2,0.5,91,20,153036,3,0.45454545454545453,81,0,79099,4,0.6666666666666666,80,420,9400,4,0.6666666666666666,79,34,56347,2,0.6,True
56,202,245,23,37,2844983959,222,10,245567,7,0.2413793103448276,12,349,47875,4,0.6153846153846154,80,420,9400,4,0.6363636363636364,238,120,12783,4,0.0,86,11,209191,4,0.0,False
141,555,23,103,21,2844996449,106,396,262799,2,0.5,245,56,822750,6,0.20930232558139536,29,28,1114940,5,0.47058823529411764,12,349,47875,4,0.6428571428571429,104,51,56232,4,0.6086956521739131,True
21,412,38,50,35,2845009211,25,11,922663,3,0.36363636363636365,236,0,55973,4,0.47368421052631576,105,44,383244,2,0.41379310344827586,85,58,50359,4,0.6666666666666666,80,420,9400,4,0.5833333333333334,True
23,64,3,145,63,2862231009,164,11,39385,4,0.37037037037037035,119,0,151596,2,0.4,53,0,64796,0,1.0,27,36,26061,2,0.5,91,403,29068,2,0.5,True
103,121,81,92,412,2881318142,101,388,56640,5,0.4782608695652174,21,85,253769,5,0.35714285714285715,104,8,51053,4,0.17391304347826086,37,1,395630,2,0.3076923076923077,59,38,49922,1,0.0,False
143,15,79,8,497,2895306931,38,33,26936,3,0.275,17,705,29341,2,0.5714285714285714,22,2,28451,3,0.2037037037037037,64,36,61743,0,1.0,16,1,41498,2,0.38235294117647056,True
141,8,31,112,78,2896809859,64,36,61743,0,1.0,236,386,155258,6,0.4444444444444444,267,5,184105,3,0.6,127,126,553382,3,0.1506849315068493,13,0,366084,4,0.5789473684210527,True
13,105,5,498,44,2896824953,59,38,49922,0,1.0,236,386,155258,6,0.47368421052631576,555,10,82050,3,0.1836734693877551,127,126,553382,2,0.16216216216216217,112,141,58395,4,0.6,True
41,59,222,16,63,3141541504,79,44,42697,1,0.0,238,0,21384,1,0.0,39,36,11112,3,0.13333333333333333,350,3,15906,3,0.2,202,5,30616,4,0.16666666666666666,False
41,7,51,89,72,3141557877,54,0,24140,1,0.5,245,2,63776,1,0.5,119,15,75485,2,0.16279069767441862,75,44,124660,3,0.3333333333333333,53,11,81026,2,0.42857142857142855,True
24,134,145,37,82,3141863279,83,0,973305,2,0.2826086956521739,202,26,10197,2,0.6666666666666666,98,44,13490,4,0.2765957446808511,54,0,24140,1,0.6666666666666666,245,2,63776,1,0.6666666666666666,True
55,86,203,24,201,3142161500,122,0,339879,3,0.5,119,3,55553,0,1.0,412,0,682113,0,1.0,54,0,24140,1,0.75,245,2,63776,1,0.6666666666666666,True
81,8,161,35,80,3142185284,53,43,3611,5,0.6666666666666666,54,0,24140,1,0.8,58,2,14767,1,0.7142857142857143,84,3,40805,5,0.23404255319148937,18,0,31240,1,0.8,True
